category,state,year_month,revenue,orders,avg_sentiment
Unknown,AC,2017-05,127.34,2,5.0
Unknown,AL,2017-04,35.8,1,5.0
Unknown,AL,2017-10,309.25,1,5.0
Unknown,AL,2017-12,709.36,2,3.0
Unknown,AL,2018-01,144.65,1,2.0
Unknown,AL,2018-04,200.74,1,4.0
Unknown,AM,2017-05,120.49,1,2.0
Unknown,AM,2017-09,1277.32,1,3.0
Unknown,BA,2017-02,239.95,1,5.0
Unknown,BA,2017-03,229.76,1,
Unknown,BA,2017-04,1401.23,4,3.6
Unknown,BA,2017-05,798.3299999999999,6,3.3333333333333335
Unknown,BA,2017-06,280.72,2,3.0
Unknown,BA,2017-07,748.96,5,2.1666666666666665
Unknown,BA,2017-08,619.97,2,5.0
Unknown,BA,2017-09,1086.38,5,3.0
Unknown,BA,2017-10,817.3199999999999,4,2.0
Unknown,BA,2017-11,2048.4300000000003,7,2.125
Unknown,BA,2017-12,222.55,2,4.0
Unknown,BA,2018-01,3783.1800000000003,13,2.4705882352941178
Unknown,BA,2018-02,1030.74,3,4.714285714285714
Unknown,BA,2018-03,1399.47,7,2.857142857142857
Unknown,BA,2018-05,1136.01,2,3.7
Unknown,BA,2018-06,127.44,1,1.0
Unknown,BA,2018-07,674.47,3,4.0
Unknown,BA,2018-08,122.07,1,4.0
Unknown,CE,2016-10,61.99,1,1.0
Unknown,CE,2017-03,586.96,4,1.0
Unknown,CE,2017-04,126.85,1,3.0
Unknown,CE,2017-05,154.07,1,2.0
Unknown,CE,2017-06,817.1899999999999,3,2.3333333333333335
Unknown,CE,2017-08,119.04,1,5.0
Unknown,CE,2017-10,1957.0300000000002,2,3.0
Unknown,CE,2017-11,58.62,1,1.0
Unknown,CE,2017-12,255.07999999999998,2,3.5
Unknown,CE,2018-01,347.77,1,5.0
Unknown,CE,2018-02,187.43,1,1.0
Unknown,CE,2018-03,4348.900000000001,4,3.0
Unknown,CE,2018-05,640.89,1,1.0
Unknown,CE,2018-08,822.46,2,1.5
Unknown,DF,2017-03,78.03,2,1.0
Unknown,DF,2017-04,94.0,2,4.5
Unknown,DF,2017-05,34.89,1,5.0
Unknown,DF,2017-06,145.79,2,4.0
Unknown,DF,2017-07,338.51,3,2.5
Unknown,DF,2017-08,70.0,1,1.0
Unknown,DF,2017-09,439.1,2,3.0
Unknown,DF,2017-10,321.26,2,1.0
Unknown,DF,2017-11,1042.34,10,2.727272727272727
Unknown,DF,2017-12,768.78,6,4.166666666666667
Unknown,DF,2018-01,526.96,5,4.8
Unknown,DF,2018-02,309.34000000000003,4,5.0
Unknown,DF,2018-03,138.73,1,5.0
Unknown,DF,2018-04,337.90999999999997,3,4.666666666666667
Unknown,DF,2018-05,233.01,1,4.0
Unknown,DF,2018-07,35.83,1,2.0
Unknown,DF,2018-08,447.68,1,1.0
Unknown,ES,2017-01,153.21,1,1.0
Unknown,ES,2017-02,181.87,2,4.333333333333333
Unknown,ES,2017-05,99.74000000000001,2,3.0
Unknown,ES,2017-06,353.63,4,2.25
Unknown,ES,2017-07,157.13,1,1.0
Unknown,ES,2017-09,299.2,1,4.0
Unknown,ES,2017-11,147.21,3,3.6666666666666665
Unknown,ES,2017-12,626.89,3,1.75
Unknown,ES,2018-01,315.51,2,3.0
Unknown,ES,2018-02,126.24,2,3.0
Unknown,ES,2018-03,499.05,3,2.3333333333333335
Unknown,ES,2018-04,52.53,1,5.0
Unknown,ES,2018-08,106.78,1,1.0
Unknown,GO,2016-10,68.39,1,1.0
Unknown,GO,2017-01,370.68,1,5.0
Unknown,GO,2017-03,784.2900000000001,4,4.0
Unknown,GO,2017-04,556.0,3,3.5
Unknown,GO,2017-05,3365.85,5,3.6
Unknown,GO,2017-07,51.09,1,4.0
Unknown,GO,2017-08,274.21999999999997,3,2.3333333333333335
Unknown,GO,2017-09,506.95,3,3.0
Unknown,GO,2017-10,253.13,4,4.0
Unknown,GO,2017-11,831.63,5,2.0
Unknown,GO,2017-12,534.11,3,5.0
Unknown,GO,2018-01,993.4,7,4.142857142857143
Unknown,GO,2018-02,1131.92,7,4.571428571428571
Unknown,GO,2018-03,970.3199999999999,6,4.166666666666667
Unknown,GO,2018-04,642.62,4,4.0
Unknown,GO,2018-05,429.63,2,3.6666666666666665
Unknown,GO,2018-06,155.63,1,4.0
Unknown,GO,2018-07,153.83,1,1.0
Unknown,GO,2018-08,725.06,4,1.5
Unknown,MA,2017-01,188.32999999999998,2,3.0
Unknown,MA,2017-03,354.63,2,2.5
Unknown,MA,2017-04,359.12,2,1.5
Unknown,MA,2017-05,105.53,2,4.5
Unknown,MA,2017-08,205.81,1,3.0
Unknown,MA,2017-09,64.05,1,5.0
Unknown,MA,2017-10,1098.98,2,4.5
Unknown,MA,2017-11,765.0799999999999,2,3.0
Unknown,MA,2017-12,83.92,1,1.0
Unknown,MA,2018-01,28.14,1,1.0
Unknown,MA,2018-02,156.53,2,2.5
Unknown,MG,2017-01,384.01,3,2.0
Unknown,MG,2017-02,1973.81,16,2.388888888888889
Unknown,MG,2017-03,2952.88,15,3.1176470588235294
Unknown,MG,2017-04,1293.0,10,3.727272727272727
Unknown,MG,2017-05,1116.5700000000002,12,3.0833333333333335
Unknown,MG,2017-06,642.76,5,4.0
Unknown,MG,2017-07,1675.8,15,2.526315789473684
Unknown,MG,2017-08,1967.59,13,4.066666666666666
Unknown,MG,2017-09,1682.41,17,3.0588235294117645
Unknown,MG,2017-10,2872.15,15,2.933333333333333
Unknown,MG,2017-11,4353.58,25,2.7777777777777777
Unknown,MG,2017-12,4747.84,22,2.5
Unknown,MG,2018-01,2584.26,21,4.285714285714286
Unknown,MG,2018-02,3348.5099999999998,22,3.6296296296296298
Unknown,MG,2018-03,2781.2,19,3.5714285714285716
Unknown,MG,2018-04,1056.6,8,4.375
Unknown,MG,2018-05,945.0,7,2.8333333333333335
Unknown,MG,2018-06,156.83,1,5.0
Unknown,MG,2018-07,413.90000000000003,5,3.2
Unknown,MG,2018-08,3057.14,11,4.181818181818182
Unknown,MG,2018-09,582.16,4,1.75
Unknown,MS,2017-03,43.94,1,1.0
Unknown,MS,2017-05,834.94,4,2.25
Unknown,MS,2017-06,55.0,1,5.0
Unknown,MS,2017-09,97.79,1,1.0
Unknown,MS,2017-10,431.9,2,2.5
Unknown,MS,2017-12,137.6,1,1.0
Unknown,MS,2018-01,166.0,2,5.0
Unknown,MS,2018-02,138.6,1,3.0
Unknown,MS,2018-03,280.65,1,1.0
Unknown,MS,2018-07,113.77,1,5.0
Unknown,MT,2016-10,451.44,1,1.0
Unknown,MT,2017-04,53.7,1,4.0
Unknown,MT,2017-06,55.79,1,5.0
Unknown,MT,2017-09,65.56,1,4.0
Unknown,MT,2017-10,139.63,2,4.0
Unknown,MT,2017-11,188.32999999999998,2,3.5
Unknown,MT,2017-12,127.99,1,1.0
Unknown,MT,2018-01,215.55,2,4.0
