category,state,total_revenue,total_orders,total_items,avg_price,avg_freight,freight_pct,delivery_success_rate,late_delivery_rate,avg_delivery_days,positive_sentiment_pct,negative_sentiment_pct,neutral_sentiment_pct,total_reviews,returning_customer_pct
Unknown,AC,127.34,2,2,33.45,30.22,66.2,100.0,0.0,21.0,100.0,0.0,0.0,2,0.0
Unknown,AL,1399.8,6,6,119.16,29.94,36.6,66.7,16.7,30.0,66.7,33.3,0.0,6,16.7
Unknown,AM,1397.81,2,3,203.93,41.24,24.7,66.7,0.0,30.0,0.0,33.3,66.7,3,66.7
Unknown,BA,16766.98,69,98,100.54,34.22,40.4,74.5,6.1,17.8,53.2,36.2,10.6,94,6.1
Unknown,CE,10484.28,25,27,154.69,27.11,29.0,59.3,25.9,28.6,25.9,70.4,3.7,27,3.7
Unknown,DF,5362.16,47,49,77.99,16.9,28.8,65.3,0.0,12.7,66.0,34.0,0.0,47,6.1
Unknown,ES,3118.99,26,28,81.82,16.68,28.4,67.9,14.3,16.7,42.9,50.0,7.1,28,3.6
Unknown,GO,12798.75,65,70,143.12,19.0,23.7,78.6,11.4,19.6,64.3,34.3,1.4,70,8.6
Unknown,MA,3410.12,18,18,116.16,33.05,49.2,50.0,0.0,17.4,44.4,38.9,16.7,18,16.7
Unknown,MG,40588.0,266,289,92.94,17.68,27.6,64.4,2.4,11.0,55.1,38.2,6.7,285,9.0
Unknown,MS,2300.19,15,15,70.39,16.59,29.9,60.0,6.7,15.0,40.0,53.3,6.7,15,0.0
Unknown,MT,1894.08,16,16,82.65,18.6,30.0,75.0,12.5,21.1,73.3,20.0,6.7,15,12.5
Unknown,PA,12027.05,24,27,393.0,42.01,31.5,74.1,3.7,22.6,63.0,33.3,3.7,27,0.0
Unknown,PB,3879.07,13,14,219.38,35.56,41.8,64.3,0.0,14.9,71.4,21.4,7.1,14,7.1
Unknown,PE,8536.29,22,30,220.22,29.98,35.7,83.3,16.7,17.2,53.3,43.3,3.3,30,0.0
Unknown,PI,1136.9,9,9,79.35,37.05,54.6,77.8,11.1,21.4,77.8,22.2,0.0,9,11.1
Unknown,PR,20889.2,120,135,92.05,17.15,27.0,57.8,1.5,12.3,54.8,37.8,7.4,135,5.2
Unknown,RJ,47755.44,292,333,94.71,17.65,30.6,68.2,5.7,14.1,48.0,46.2,5.8,325,8.7
Unknown,RN,1571.77,9,9,87.61,31.47,41.8,66.7,0.0,12.8,62.5,25.0,12.5,8,0.0
Unknown,RO,4217.42,11,12,83.3,36.97,53.0,50.0,0.0,13.3,41.7,58.3,0.0,12,16.7
Unknown,RR,301.82,2,2,122.99,27.92,22.7,100.0,0.0,27.0,50.0,0.0,50.0,2,0.0
Unknown,RS,24790.69,120,138,87.66,20.66,32.6,71.0,5.8,15.1,56.3,39.3,4.4,135,6.5
Unknown,SC,21667.97,87,91,100.45,17.57,24.8,68.1,9.9,16.0,49.5,38.5,12.1,91,11.0
Unknown,SE,2436.97,7,8,74.21,28.58,40.6,25.0,0.0,14.5,37.5,62.5,0.0,8,12.5
Unknown,SP,173293.26,970,1132,91.44,13.15,22.9,61.5,3.4,8.2,52.1,40.4,7.5,1122,11.2
Unknown,TO,906.52,5,6,97.0,23.26,31.6,66.7,0.0,16.5,66.7,16.7,16.7,6,0.0
agro_industry_and_commerce,AL,1518.55,1,1,1476.3,42.25,2.9,100.0,100.0,44.0,0.0,100.0,0.0,1,0.0
agro_industry_and_commerce,AP,657.61,1,1,589.99,67.62,11.5,100.0,0.0,13.0,100.0,0.0,0.0,1,0.0
agro_industry_and_commerce,BA,4489.32,3,5,451.4,47.5,10.3,100.0,0.0,19.8,60.0,40.0,0.0,5,0.0
agro_industry_and_commerce,CE,2448.8,2,6,75.48,28.55,58.3,100.0,0.0,16.2,100.0,0.0,0.0,6,0.0
agro_industry_and_commerce,ES,487.17,2,2,221.15,22.44,23.3,100.0,50.0,20.5,50.0,50.0,0.0,2,0.0
agro_industry_and_commerce,GO,3420.4,6,7,328.34,27.77,27.4,71.4,0.0,17.4,42.9,42.9,14.3,7,0.0
agro_industry_and_commerce,MA,614.63,1,1,559.99,54.64,9.8,0.0,0.0,0.0,0.0,100.0,0.0,1,0.0
agro_industry_and_commerce,MG,44016.72,14,22,593.95,25.61,14.5,100.0,0.0,11.8,54.5,27.3,18.2,22,4.5
agro_industry_and_commerce,MS,594.17,3,3,175.63,22.43,34.3,100.0,0.0,18.0,66.7,0.0,33.3,3,0.0
agro_industry_and_commerce,MT,636.45,2,2,265.0,53.22,33.9,100.0,0.0,16.5,100.0,0.0,0.0,2,0.0
agro_industry_and_commerce,PA,1287.16,2,2,554.99,88.59,15.4,100.0,0.0,13.5,100.0,0.0,0.0,2,0.0
agro_industry_and_commerce,PB,596.29,2,2,264.5,33.65,22.6,50.0,0.0,16.0,50.0,50.0,0.0,2,0.0
agro_industry_and_commerce,PE,6088.7,5,5,1122.38,95.36,10.8,100.0,20.0,27.6,80.0,20.0,0.0,5,0.0
agro_industry_and_commerce,PI,429.02,3,3,106.33,36.68,56.3,100.0,0.0,9.3,66.7,0.0,33.3,3,0.0
agro_industry_and_commerce,PR,5285.16,12,12,408.63,31.8,20.8,100.0,8.3,11.5,75.0,16.7,8.3,12,8.3
agro_industry_and_commerce,RJ,9855.91,25,44,214.56,28.06,42.1,97.7,6.8,13.1,84.1,11.4,4.5,44,9.1
agro_industry_and_commerce,RO,898.4,1,4,22.0,34.15,77.9,100.0,0.0,18.0,100.0,0.0,0.0,4,100.0
agro_industry_and_commerce,RS,3355.1,9,9,350.66,22.13,16.0,100.0,0.0,7.4,100.0,0.0,0.0,9,0.0
agro_industry_and_commerce,SC,1151.71,3,3,356.66,27.24,7.8,100.0,0.0,10.3,100.0,0.0,0.0,3,0.0
agro_industry_and_commerce,SP,30899.34,85,118,300.11,21.63,17.8,99.2,0.0,8.7,87.3,9.3,3.4,118,0.8
air_conditioning,AL,643.89,1,1,540.0,103.89,19.2,100.0,0.0,20.0,100.0,0.0,0.0,1,0.0
air_conditioning,AM,114.11,1,1,89.0,25.11,28.2,100.0,0.0,28.0,100.0,0.0,0.0,1,0.0
air_conditioning,BA,979.95,6,6,138.81,24.51,27.4,100.0,0.0,18.5,66.7,33.3,0.0,6,0.0
air_conditioning,CE,537.25,2,2,223.08,45.54,20.2,100.0,0.0,28.0,50.0,50.0,0.0,2,0.0
air_conditioning,DF,534.61,3,3,156.0,22.2,15.3,100.0,0.0,12.7,100.0,0.0,0.0,3,0.0
air_conditioning,ES,1026.46,6,6,149.8,21.28,15.3,100.0,16.7,12.3,80.0,20.0,0.0,5,0.0
air_conditioning,GO,1374.38,6,7,134.41,31.34,28.7,100.0,0.0,11.9,71.4,14.3,14.3,7,0.0
air_conditioning,MA,222.71,1,1,199.0,23.71,11.9,100.0,0.0,20.0,100.0,0.0,0.0,1,0.0
air_conditioning,MG,6258.3,18,21,214.52,22.31,15.9,100.0,0.0,9.9,61.9,9.5,28.6,21,0.0
air_conditioning,MT,1124.7,3,5,117.16,17.11,24.0,100.0,0.0,16.6,60.0,40.0,0.0,5,40.0
air_conditioning,PB,86.75,1,1,35.9,50.85,77.9,100.0,0.0,15.0,100.0,0.0,0.0,1,0.0
air_conditioning,PE,350.15,2,2,138.45,36.62,29.7,50.0,0.0,18.0,0.0,100.0,0.0,2,0.0
air_conditioning,PI,620.99,3,3,156.3,50.7,36.4,100.0,0.0,16.3,66.7,0.0,33.3,3,0.0
air_conditioning,PR,4492.2,10,14,264.74,24.01,15.0,100.0,0.0,14.5,50.0,7.1,42.9,14,21.4
air_conditioning,RJ,24189.73,60,70,236.5,23.61,22.4,97.1,8.6,13.0,77.9,17.6,4.4,68,10.0
air_conditioning,RS,3176.36,12,15,113.48,29.48,34.0,86.7,6.7,11.8,80.0,20.0,0.0,15,20.0
air_conditioning,SC,2707.68,1,4,149.9,19.33,12.9,100.0,0.0,32.0,100.0,0.0,0.0,4,0.0
air_conditioning,SP,42730.44,117,140,165.08,19.33,17.5,97.9,2.1,9.6,75.4,18.1,6.5,138,5.7
art,AM,90.68,1,1,58.35,32.33,55.4,100.0,0.0,34.0,100.0,0.0,0.0,1,0.0
art,AP,227.84,2,2,72.94,40.98,55.4,100.0,0.0,23.5,100.0,0.0,0.0,1,0.0
art,BA,1111.25,10,10,89.9,21.23,26.4,100.0,0.0,16.0,70.0,20.0,10.0,10,0.0
art,DF,941.4,6,6,94.3,19.81,42.7,100.0,0.0,9.5,83.3,16.7,0.0,6,0.0
art,ES,76.79,1,1,49.9,26.89,53.9,100.0,0.0,5.0,100.0,0.0,0.0,1,100.0
art,GO,506.83,4,4,102.39,24.32,23.7,75.0,0.0,16.3,75.0,0.0,25.0,4,0.0
art,MG,1699.96,18,19,75.87,18.48,27.9,100.0,0.0,9.5,100.0,0.0,0.0,19,0.0
art,MS,151.39,1,1,129.99,21.4,16.5,100.0,0.0,23.0,0.0,0.0,100.0,1,0.0
art,MT,97.43,1,1,69.99,27.44,39.2,100.0,0.0,15.0,100.0,0.0,0.0,1,0.0
art,PA,250.32,2,2,84.94,40.22,48.3,100.0,0.0,20.5,50.0,0.0,50.0,2,0.0
art,PB,154.18,1,1,110.99,43.19,38.9,100.0,0.0,20.0,0.0,100.0,0.0,1,0.0
art,PE,144.22,1,1,110.99,33.23,29.9,100.0,0.0,19.0,100.0,0.0,0.0,1,0.0
art,PI,616.72,1,2,110.99,43.19,38.9,100.0,0.0,24.0,100.0,0.0,0.0,2,0.0
art,PR,966.4,9,9,78.98,19.68,27.9,88.9,0.0,10.2,88.9,11.1,0.0,9,11.1
art,RJ,3790.94,32,35,91.51,20.28,28.1,97.1,2.9,12.9,74.3,14.3,11.4,35,5.7
art,RN,137.1,1,1,79.99,57.11,71.4,100.0,0.0,15.0,0.0,0.0,100.0,1,0.0
art,RO,252.77,2,2,74.32,52.06,67.6,100.0,0.0,26.0,100.0,0.0,0.0,2,0.0
art,RS,809.87,9,9,67.94,17.86,29.3,88.9,0.0,13.9,55.6,33.3,11.1,9,0.0
art,SC,559.09,6,6,70.36,22.82,38.5,100.0,16.7,14.8,83.3,0.0,16.7,6,0.0
art,SP,18407.75,94,106,143.04,15.4,24.1,92.5,9.4,7.5,66.7,25.7,7.6,105,5.7
arts_and_craftmanship,DF,151.7,1,1,129.49,22.21,17.2,100.0,100.0,21.0,0.0,100.0,0.0,1,0.0
arts_and_craftmanship,MG,670.76,6,6,81.46,23.1,37.1,100.0,0.0,6.5,100.0,0.0,0.0,6,16.7
arts_and_craftmanship,SC,314.32,1,1,289.49,24.83,8.6,100.0,0.0,3.0,100.0,0.0,0.0,1,0.0
arts_and_craftmanship,SP,1189.39,15,16,56.64,11.53,33.7,100.0,0.0,4.0,68.8,12.5,18.8,16,25.0
audio,AL,675.28,5,5,110.02,25.04,32.5,100.0,80.0,34.6,50.0,25.0,25.0,4,0.0
audio,AM,114.53,1,1,89.9,24.63,27.4,100.0,0.0,28.0,100.0,0.0,0.0,1,0.0
audio,BA,1695.59,14,14,102.19,18.92,42.1,100.0,28.6,20.3,50.0,35.7,14.3,14,7.1
audio,CE,1080.71,5,6,160.32,35.86,44.8,100.0,0.0,15.7,100.0,0.0,0.0,6,0.0
audio,DF,2322.44,16,16,128.01,17.14,38.3,100.0,12.5,13.1,68.8,18.8,12.5,16,0.0
audio,ES,1531.46,13,14,85.56,16.18,41.2,100.0,21.4,16.1,57.1,28.6,14.3,14,0.0
audio,GO,2390.14,7,7,282.13,16.7,14.4,100.0,0.0,18.0,57.1,28.6,14.3,7,0.0
audio,MA,858.97,3,3,244.63,41.7,40.9,100.0,0.0,17.3,100.0,0.0,0.0,3,0.0
audio,MG,6866.66,33,37,153.43,17.53,33.5,97.3,5.4,12.8,73.0,21.6,5.4,37,2.7
audio,MS,206.99,1,1,190.9,16.09,8.4,100.0,0.0,20.0,100.0,0.0,0.0,1,0.0
audio,MT,758.57,4,4,167.95,21.69,42.8,100.0,25.0,20.5,50.0,50.0,0.0,4,0.0
audio,PA,608.67,1,1,568.0,40.67,7.2,100.0,100.0,48.0,0.0,100.0,0.0,1,0.0
audio,PB,103.55,1,1,79.0,24.55,31.1,100.0,100.0,42.0,0.0,100.0,0.0,1,0.0
