date,daily_gmv_forecast,is_black_friday,is_holiday_season
2018-08-10,49533.4296875,0,0
2018-08-11,46052.078125,0,0
2018-08-12,46379.765625,0,0
2018-08-13,60619.87109375,0,0
2018-08-14,61381.09375,0,0
2018-08-15,66037.9453125,0,0
2018-08-16,61053.18359375,0,0
2018-08-17,58001.25390625,0,0
2018-08-18,54630.109375,0,0
2018-08-19,52846.44140625,0,0
2018-08-20,66988.7734375,0,0
2018-08-21,66070.8046875,0,0
2018-08-22,65620.7421875,0,0
2018-08-23,66430.4921875,0,0
2018-08-24,55921.43359375,0,0
2018-08-25,52365.984375,0,0
2018-08-26,52688.48828125,0,0
2018-08-27,66132.4765625,0,0
2018-08-28,65433.18359375,0,0
2018-08-29,64583.1875,0,0
2018-08-30,58570.9921875,0,0
2018-08-31,54229.23828125,0,0
2018-09-01,50756.92578125,0,0
2018-09-02,52033.3125,0,0
2018-09-03,64789.8359375,0,0
2018-09-04,64187.890625,0,0
2018-09-05,58479.33203125,0,0
2018-09-06,56429.39453125,0,0
2018-09-07,54349.83984375,0,0
2018-09-08,54259.23046875,0,0
2018-09-09,53720.4453125,0,0
2018-09-10,64686.92578125,0,0
2018-09-11,64578.87890625,0,0
2018-09-12,62726.625,0,0
2018-09-13,59579.12109375,0,0
2018-09-14,57165.6171875,0,0
2018-09-15,50346.66015625,0,0
2018-09-16,53084.9921875,0,0
2018-09-17,64484.109375,0,0
2018-09-18,61921.55078125,0,0
2018-09-19,57449.7421875,0,0
2018-09-20,56638.55859375,0,0
2018-09-21,50929.3828125,0,0
2018-09-22,48131.78515625,0,0
2018-09-23,49755.984375,0,0
2018-09-24,62310.78515625,0,0
2018-09-25,61417.1953125,0,0
2018-09-26,59768.37890625,0,0
2018-09-27,58496.796875,0,0
2018-09-28,55076.12890625,0,0
2018-09-29,53751.58203125,0,0
2018-09-30,56942.01953125,0,0
2018-10-01,66218.03125,0,0
2018-10-02,66949.640625,0,0
2018-10-03,61897.49609375,0,0
2018-10-04,58791.2578125,0,0
2018-10-05,55482.6875,0,0
2018-10-06,51277.44921875,0,0
2018-10-07,51308.17578125,0,0
2018-10-08,60979.41796875,0,0
2018-10-09,63094.69140625,0,0
2018-10-10,59100.6484375,0,0
2018-10-11,57437.171875,0,0
2018-10-12,53096.7578125,0,0
2018-10-13,50517.03515625,0,0
2018-10-14,52311.83203125,0,0
2018-10-15,65481.421875,0,0
2018-10-16,63552.8125,0,0
2018-10-17,60027.33203125,0,0
2018-10-18,58378.76953125,0,0
2018-10-19,54326.33203125,0,0
2018-10-20,52804.078125,0,0
2018-10-21,54718.84375,0,0
2018-10-22,63180.94140625,0,0
2018-10-23,63896.5546875,0,0
2018-10-24,60806.07421875,0,0
2018-10-25,59867.98046875,0,0
2018-10-26,56683.05859375,0,0
2018-10-27,50717.0546875,0,0
2018-10-28,54517.34375,0,0
2018-10-29,64062.25,0,0
2018-10-30,62981.23046875,0,0
2018-10-31,59878.34765625,0,0
2018-11-01,58917.51953125,0,0
2018-11-02,57900.10546875,0,0
2018-11-03,51793.39453125,0,0
2018-11-04,54173.29296875,0,0
2018-11-05,63477.74609375,0,0
2018-11-06,63842.87109375,0,0
2018-11-07,62300.16796875,0,0
